,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
57,-22962.9131596424,-25471.50767627882,-27505.731043771044,-29728.27809706258,-24848.708098421,-27160.53827160494
58,-27295.224130418454,-22355.68754912181,-22121.75015230291,-29905.916666666668,-23057.83859897761,-22389.648430562498
59,-24325.031712331074,-25089.524382683558,-25148.942928949356,-29902.564814814814,-27386.039119951776,-27578.118196457326
60,-18136.14701544545,-16490.557910058968,-21011.96746640685,-29897.148148148146,-26565.993981481482,-25566.5975369401
61,-27739.200332577475,-22812.10655357597,-20613.573674126957,-29899.26851851852,-18698.3428128251,-27816.562962962962
62,-19509.809304366907,-18137.856988218344,-23941.199327009934,-29900.444444444445,-23900.984004039885,-23640.94619305415
63,-17778.25691765194,-26646.662226684515,-27920.603448275862,-26612.613791423,-26547.373739665258,-22553.32218523509
64,-23559.859499534603,-20858.843384804328,-23138.049327268447,-28000.964814814815,-27920.975396825397,-23681.852320418482
65,-19581.337524486553,-23003.847155438238,-29355.46712962963,-25267.339616402118,-26830.937792894936,-25251.991123494317
66,-19127.76055923071,-28720.31051051051,-27571.306568425185,-26359.431111111116,-24844.23745099029,-26052.221864289662
67,-22513.849430409216,-21873.06719099915,-24565.556410256406,-29899.148148148146,-21928.405531895845,-29425.972331154677
68,-27790.05478927203,-23760.768716475097,-26084.185411720893,-26039.992242242242,-28982.269580610027,-28852.865401987354
69,-25125.995322622923,-26370.634172646223,-28206.998518518514,-28218.180861928104,-25553.012474146224,-28736.27692307692
70,-25253.375653135292,-24640.331623051625,-25245.220309178745,-28743.15740740741,-23792.002379696387,-29903.422222222223
71,-29894.044444444444,-25696.39614578969,-21684.86246858116,-27199.75121432908,-22741.890493097035,-20325.812338928576
72,-21722.130466803963,-26340.39972709552,-21220.711135120717,-29897.86111111111,-23528.15419082846,-23430.55323300024
73,-23385.78933874739,-19516.092631607324,-21343.93019928839,-26135.474653224654,-26443.753968253965,-29896.65185185185
74,-29229.22491582491,-25031.16286981813,-26348.13104936205,-27635.781673052363,-25175.490976430978,-24017.79012345679
75,-25893.707838977884,-29896.73333333333,-28482.984878306877,-28870.01984126984,-29893.39629629629,-28294.271608898394
76,-27987.805026455026,-29057.99492063492,-29907.977777777774,-29871.921957671955,-29604.682915173238,-29909.04444444445
77,-23941.659424603175,-19260.899640980846,-29327.13787335723,-29904.361111111113,-28182.643341213552,-28789.224951267057
78,-19313.077394376553,-17588.89125129979,-24023.32088248901,-29907.305555555555,-24368.82511111111,-27932.349545772187
79,-29866.182275132276,-25786.182570117748,-26137.6314037814,-26702.081828703704,-23637.78131148308,-29727.037547892724
80,-29911.533333333333,-29188.437037037034,-24490.998616198616,-26361.788268929307,-27921.15128205128,-23180.205555555556
81,-20564.16613960114,-24917.670443349754,-23438.54438068065,-29898.824074074073,-22104.908013710745,-22825.538359788356
82,-26728.052324665092,-22480.195369217286,-19391.179443572302,-29899.675925925927,-26958.208584086482,-23006.949432780493
83,-27400.237064676614,-29017.306234852364,-29897.338095238094,-29905.083333333336,-23852.966024096208,-24815.033024441444
84,-26470.048907292385,-23817.576757902425,-22582.209831649834,-26269.396937321937,-24429.117019992183,-27932.460818999483
85,-28849.10513739546,-29655.55376756067,-24658.661314413745,-26190.716203703705,-26651.562051370256,-26007.63685636856
86,-26439.76873822976,-24807.436223196884,-23185.588928236204,-28740.227828487717,-21889.437493307727,-27041.92842190016
87,-25480.33561034369,-21246.605434122648,-21673.256378971935,-24622.124074074072,-22550.60328563858,-27086.85854921135
88,-26494.334834138484,-23658.690229774853,-23721.80453545144,-29645.53544061303,-22812.048171149272,-24932.675013585016
89,-25270.211912509683,-22417.55117983105,-21772.63280335599,-25619.016835016835,-27349.129166666662,-27928.655606047105
90,-25257.80025783413,-26321.532264522848,-27292.26046046046,-28117.226709401708,-23844.702764423077,-28092.476402607826
91,-22503.120204517705,-26769.018943533698,-23869.173616908498,-29535.93425925926,-29217.52,-29434.061957671955
92,-21626.736171401968,-29418.63611111111,-27221.308191721135,-27566.20460338881,-29810.524074074077,-22049.488569553163
93,-28135.081765169423,-28299.05405831363,-25957.094197178772,-29888.527777777777,-24130.714381957376,-26441.835110385786
94,-22036.0067627572,-22543.23049792869,-25962.757957132544,-29899.527777777777,-27388.966605950212,-29567.985925925925
95,-27967.96716126785,-24118.339862914865,-20618.545112481752,-26503.39121983482,-26583.04951801116,-25913.774694564694
96,-19889.019949070534,-23515.223480418215,-22766.125913601474,-29914.02777777778,-21469.155117516726,-24517.81380837359
97,-24036.007421347233,-22278.79960137298,-27316.619157088124,-29096.650673400676,-23626.9897995523,-27288.696230158726
98,-28581.22721791559,-27168.62247474747,-23334.353250429685,-26227.49234116158,-27227.217283950617,-22630.857672659396
99,-29152.35952210275,-21275.904270126106,-22150.266380083493,-25646.285648148147,-19286.423061415844,-27506.634424150176
100,-25256.491278942973,-20523.05111781635,-26320.063907451957,-29902.379629629628,-21654.482088790777,-26259.53343193843
101,-24451.638999597424,-24717.5001001001,-26228.587136066548,-26463.849019607846,-28711.276065162907,-28315.314529914533
102,-23961.962966247844,-26254.897610513737,-27278.374289127834,-28626.11111111111,-29901.79656084656,-29315.3412037037
