,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
23,-15.99761904761905,-18.74913308913309,-16.734882882882882,-14.767164179104478,-12.525,-22.70143964562569
24,-15.88,-19.954603174603175,-20.411264911559027,-14.787755102040816,-13.643333333333334,-14.164705882352942
25,-14.229033189033188,-19.753896103896103,-20.516747270217127,-14.8,-18.465314145834878,-17.97010810810811
26,-13.625396825396825,-17.948571428571427,-19.32948717948718,-14.8,-10.457142857142857,-17.450652173913042
27,-15.933766233766232,-18.171536796536795,-14.44008658008658,-19.4,-13.571428571428573,-12.4025
28,-15.041269841269841,-20.16190476190476,-14.196245614035087,-14.785454545454545,-20.75969328543797,-11.870000000000001
29,-16.21158008658009,-17.981666666666666,-18.27314814814815,-5.578181818181818,-14.267619047619046,-16.79
30,-15.490310293571165,-18.26588235294118,-14.884583540321245,-19.4,-16.4,-13.667692307692306
31,-18.62616515837104,-15.354545454545454,-15.587148798913507,-23.97842835130971,-19.403113553113553,-13.826699226699228
32,-15.393412698412698,-14.794285714285712,-19.75362902127825,-10.18909090909091,-14.946449456975774,-14.48121212121212
33,-13.062987012987014,-15.86031746031746,-14.310160536476326,-23.89543590126035,-22.037408637873757,-20.137254901960784
34,-13.552539682539683,-14.2,-14.908186447316883,-19.389090909090907,-20.58068068068068,-16.649687567334627
35,-9.643333333333334,-16.656969696969696,-14.637254901960784,-19.384848484848483,-17.57015065913371,-17.611666666666668
36,-14.753333333333334,-15.997802197802198,-16.11443133141009,-14.788888888888888,-19.875242223355432,-13.242919389978216
37,-5.568333333333333,-18.970562770562772,-19.267437250209483,-19.387999999999998,-21.14597873671044,-14.487164750957854
38,-12.146031746031747,-16.289411764705882,-13.080000000000002,-19.387755102040817,-14.127272727272729,-13.40735294117647
39,-7.707222222222223,-12.389826839826842,-19.85594315245478,-10.36969696969697,-15.466666666666665,-19.095714285714287
40,-10.85108225108225,-14.193846153846156,-14.975301891091362,-19.34672663668166,-18.773888888888887,-17.762939958592135
41,-11.967777777777778,-15.74787878787879,-19.321843317972352,-14.8,-20.897449556093626,-14.585575048732943
42,-11.949761904761903,-18.128571428571426,-14.574025974025975,-14.8,-19.836754658385097,-19.47252252252252
43,-10.837777777777777,-14.597777777777775,-15.784265734265734,-10.2,-22.6089539295393,-15.552499999999998
44,-11.927619047619046,-12.536666666666667,-18.04962636671574,-15.0,-21.947628726287263,-18.413717948717952
45,-11.152435897435897,-13.392857142857144,-17.072318936877075,-10.167566216891554,-19.986466165413532,-16.73333333333333
46,-8.447619047619048,-13.76190476190476,-16.28666666666667,-14.8,-20.458964646464644,-16.90341736694678
47,-1.0633333333333332,-12.76,-16.550510510510513,-14.727457166938919,-17.76555770470664,-19.924458204334364
48,-1.1799999999999993,-13.491666666666669,-10.0,-19.4,-9.812888888888889,-15.133333333333335
49,-11.269444444444444,-12.133333333333333,-18.12963924963925,-14.76956289978678,-15.508152173913043,-15.134589371980676
50,-0.850476190476191,-16.44,-17.349944258639912,-23.96182756079587,-22.313243034055727,-10.391666666666666
51,-6.290000000000001,-9.683333333333334,-15.009239189928845,-19.081136169882974,-13.65,-10.027000000000001
52,-8.344444444444445,-7.9,-15.501139122315593,-19.36417910447761,-22.65315014552303,-16.09111111111111
53,-2.2444444444444445,-10.986666666666668,-13.530909090909091,-19.392982456140352,-21.766494095418047,-10.41764705882353
54,-7.425714285714285,-11.966666666666665,-16.513093093093094,-10.188679245283017,-22.704285714285714,-7.329411764705883
55,-7.839047619047619,-15.419999999999998,-12.707186147186146,-10.336770186335404,-13.383859649122806,-15.59
56,-2.065555555555556,-11.791666666666668,-16.434503069520492,-19.4,-19.073389355742297,-8.00952380952381
57,-2.686666666666667,-12.231282051282053,-12.286842105263158,-19.39310344827586,-21.432323232323235,-16.292680180180177
58,-2.298571428571429,-12.8,-14.801260504201679,-5.576119402985075,-17.964881602914392,-20.060084033613446
59,-0.9726190476190475,-15.233650793650792,-11.30952380952381,-14.761764705882353,-13.840196078431372,-16.36637426900585
60,-7.6003968253968255,-11.146666666666667,-17.224774774774772,-10.165714285714285,-13.415238095238095,-16.03
61,-4.222368421052631,-9.366666666666665,-15.689268292682925,-14.8,-12.071428571428573,-14.651086956521741
62,-2.7304761904761907,-11.701666666666666,-14.50793650793651,-19.349249011857708,-11.030357142857143,-9.713333333333333
63,-1.404761904761905,-14.616666666666665,-19.008542372881358,-14.764179104477611,-13.170532915360502,-15.640666666666666
64,4.607142857142857,-9.766666666666666,-16.06111111111111,-24.0,-13.1,-10.8
65,-0.8940476190476188,-10.511666666666667,-19.36482334869432,-23.959714795008914,-18.215555555555557,-14.580392156862747
66,5.154285714285715,-11.733333333333334,-12.441985244802146,-14.766666666666666,-10.602051282051281,-18.996299840510368
67,2.6222222222222222,-11.583333333333334,-16.06589861751152,-19.36521739130435,-14.866353383458648,-7.6
68,2.8952380952380947,-11.083333333333332,-15.525999337821432,-24.0,-14.263095238095238,-12.638228438228438
69,-0.3323809523809526,-12.48,-14.294444444444446,-23.96979405034325,-15.929824561403507,-13.427692307692308
